video_id,category_id,category_name
-ikWACHd4wU,22,People & Blogs
-iq9ake0fek,27,Education
-isY3iRyF-8,24,Entertainment
-ismJsHdsJo,20,Gaming
-izWqLYOY4s,17,Sports
-j-ndJtT9Mo,17,Sports
-j3FrJia-74,2,Autos & Vehicles
-j7aRXmdMWw,24,Entertainment
-jCVFMDhvPg,23,Comedy
-jHLIl-1x-Y,22,People & Blogs
-jSrpBVbtCs,26,Howto & Style
-ja3t8adMCg,24,Entertainment
-jcfBsQrOg4,22,People & Blogs
-jjvWrZC4nU,22,People & Blogs
-jvUFIVdR-Y,10,Music
-kCePEEBjvc,1,Film & Animation
-kNnppCxEBo,24,Entertainment
-kUxOLZ71P0,20,Gaming
-klADHdoOJM,17,Sports
-kpgoipjw4o,24,Entertainment
-kwhbjQXJOc,2,Autos & Vehicles
-lArEvBJcUk,22,People & Blogs
-lSh1-JkqH0,10,Music
-lUsPXvUfKA,20,Gaming
-lYKZQI129c,22,People & Blogs
-lZ-D_RqN1M,24,Entertainment
-lgDchfqk-Y,24,Entertainment
-lhCS6FF49w,24,Entertainment
-lkCsKXAxfo,19,Travel & Events
-m4pQ8xK4w4,24,Entertainment
-mBxmS-e9s8,24,Entertainment
-me5oMfOBgc,2,Autos & Vehicles
-mf8ku_PnVM,24,Entertainment
-mkIU7S5j1U,23,Comedy
-mukleOrEnY,24,Entertainment
-n-bXkxcKvE,25,News & Politics
-n61LGf1sfs,25,News & Politics
-n8IrFPSFCU,24,Entertainment
-nA6j3a10X8,10,Music
-nIkZAc4qy0,10,Music
-nMjtF14Inc,19,Travel & Events
-nNiTn0_41g,24,Entertainment
-nOdSj0u29U,17,Sports
-nOv59o8usY,22,People & Blogs
-navJLrLOEQ,27,Education
-niJ23jAMQA,2,Autos & Vehicles
-njZXVQA5L4,23,Comedy
-ntPYyrS09Q,24,Entertainment
-o23ORG5DWE,10,Music
-o5jC2uBQZQ,10,Music
-oHGafLPvEE,24,Entertainment
-oQZ_XzAWyI,17,Sports
-obKX-mqjXQ,24,Entertainment
-ooue7i73zo,2,Autos & Vehicles
-opYkQ9jXa0,24,Entertainment
-oqdmbI7ozk,26,Howto & Style
-p6wfT-Qi58,23,Comedy
-p7nJEaR6l4,20,Gaming
-pLHhFpPNIM,24,Entertainment
-pSY-g9npOs,24,Entertainment
-pa3Ib8dlgk,22,People & Blogs
-piQY7tiVK8,17,Sports
-pvTDf1Eq6M,10,Music
-q6pIZD4ljU,1,Film & Animation
-q8OPo7P2dM,10,Music
-q93Wv0nJfE,17,Sports
-qErsAzvPMo,22,People & Blogs
-qFJuTpqBLM,17,Sports
-qGGXDrlhXA,22,People & Blogs
-qTzi90wuH8,17,Sports
-qdJ5emveQg,28,Science & Technology
-qn_cTHvfOY,24,Entertainment
-r-wUeyPocI,24,Entertainment
-r0RRSreQwQ,24,Entertainment
-r5jmwTFb6M,20,Gaming
-r9D7kb43NQ,10,Music
-r9jEWsQkXs,24,Entertainment
-rFubUfAFgM,15,Pets & Animals
-rM-pkWiGr8,19,Travel & Events
-rSGoP5iGZQ,23,Comedy
-rTF88Cgmmk,20,Gaming
-risbrFHbBU,17,Sports
-rkx-U8J0wc,15,Pets & Animals
-rn_R1aheK8,10,Music
-ru6uqB2M1Q,1,Film & Animation
-ryG_yoUFno,24,Entertainment
-s7M3-zyWmk,20,Gaming
-s7POB5XP0g,22,People & Blogs
-sLwIBEjb0E,20,Gaming
-sSr9q_Y_fk,24,Entertainment
-sjJ7MvByBk,22,People & Blogs
-sjqq_YfZLk,22,People & Blogs
-slT4yeulvo,23,Comedy
-sr3hZCAono,1,Film & Animation
-sw3KKfOP9U,24,Entertainment
-sw6xS25xHI,24,Entertainment
-tAysR7KCVI,17,Sports
-tBw_lWi7Mw,22,People & Blogs
-tNZoYG-rOI,17,Sports
-tsaNlnSc2o,1,Film & Animation
-ttt8x5P1_4,25,News & Politics
-u5Dzq83YOI,20,Gaming
-uOeVA047SU,24,Entertainment
-uRrg3iDMAQ,23,Comedy
-uf-27FRQrY,24,Entertainment
-ux0a4PR5yU,2,Autos & Vehicles
-vGXHaYysd4,22,People & Blogs
-vI_WMUBXcA,10,Music
-vKgBlYE6js,15,Pets & Animals
-vZkt4fCkOc,20,Gaming
-vioJwze-KQ,22,People & Blogs
-vlbkmK0Iuo,22,People & Blogs
-w4vVdmcBcU,10,Music
-wMvOV4-UGk,23,Comedy
-wOWu3haXhY,1,Film & Animation
-wP8qB4izHg,20,Gaming
-wR_tTgux0Q,24,Entertainment
-wV_MwJYKp0,17,Sports
-wdvNc6Io2s,17,Sports
-wj_uPpWM94,20,Gaming
-wn0zrU6xiA,25,News & Politics
-x-n0jkbc3k,24,Entertainment
-xCssbdVnBA,20,Gaming
-xQKDW5pITg,10,Music
-xSqROrqvYA,24,Entertainment
-xeJW-RinPw,2,Autos & Vehicles
-xjFNDgx97o,17,Sports
-xqopfm_4zY,10,Music
-xsiY7nepj8,23,Comedy
-y3mz0bCZ9A,25,News & Politics
-yHbZWfkBwU,17,Sports
-yI7PU5Sxj0,17,Sports
-ycdSBsFkR4,20,Gaming
-ygtoHroOKY,20,Gaming
-ylVnuPWlJM,20,Gaming
-ynaPTWKTmU,20,Gaming
-yq9jCs8xEk,24,Entertainment
-yslbNy4mIg,10,Music
-yt_8R9A-dI,20,Gaming
-z5HoV54wmM,10,Music
-z5J6f0S5iA,17,Sports
-z5_LwIqdhM,28,Science & Technology
-zCnGHsqj1A,17,Sports
-zDoirI70SQ,20,Gaming
-zKCH89W8CM,22,People & Blogs
-zSLhNGBAF8,17,Sports
-zTKiRfU2hs,10,Music
-zUY6AUmgdI,10,Music
0-9PCtiCoB0,17,Sports
0-F8_OwDDKo,23,Comedy
0-KgM_Nuj_w,24,Entertainment
0-NcMgirNeg,24,Entertainment
0-Tm65i96TY,10,Music
0-eKMDa2FdA,17,Sports
0-q1KafFCLU,24,Entertainment
00A93Z5c3uk,24,Entertainment
00JOoWU7b6Q,17,Sports
00Kz5SMdeBM,20,Gaming
00T9GucT1E0,24,Entertainment
00bfb05nbiw,17,Sports
00uPgn-8Nvg,22,People & Blogs
00wmb3OG_mk,24,Entertainment
01H06TbMs4g,24,Entertainment
01Mo3CfJvUc,10,Music
01Q68etWurU,10,Music
01UfNn2eV6s,20,Gaming
01f--vqJoig,20,Gaming
01g-_wWPkUg,24,Entertainment
01j90yvN_tA,28,Science & Technology
01ped04I84Q,24,Entertainment
01romA31Pek,17,Sports
01xIJVT2Wxc,27,Education
027yDER5QT0,24,Entertainment
02BxwayFQdE,20,Gaming
02G9UKwkpEY,20,Gaming
02LufIQjP-8,24,Entertainment
02MaoZ5n-uM,17,Sports
02YcIQ0GYCE,17,Sports
02bFwfiEaeQ,10,Music
02g_Mn_rEoU,17,Sports
03-DgRkupK8,10,Music
033FWxL22A0,20,Gaming
038vNg88oXg,10,Music
03An1UUO2xs,17,Sports
03GLM4XiiZU,20,Gaming
03GS1u4GAd4,27,Education
03LoHZUSqSU,17,Sports
03MONiC3tLo,24,Entertainment
03Xa38nfhGw,10,Music
03YkRUHRwTg,22,People & Blogs
03eVXlrVox4,22,People & Blogs
03uBOJfLCWg,24,Entertainment
03wKL7Y4IzA,17,Sports
042JWTvwmcs,22,People & Blogs
04FW4EAJFfI,24,Entertainment
04FtEJvCZP0,17,Sports
04KxKOCZGLo,15,Pets & Animals
04VQNLLrmj4,26,Howto & Style
04YWL57p2JA,23,Comedy
04_l1NXszQo,17,Sports
04fnbyAoh5Y,17,Sports
04iDF3I6dTo,2,Autos & Vehicles
04k9g8HW1GI,24,Entertainment
04o8Z9TNoi4,24,Entertainment
04po9rpIW_U,24,Entertainment
04wN5-GpEwQ,20,Gaming
056fTE7tGLE,17,Sports
058hRtaCWC0,27,Education
05A26mwdmuI,23,Comedy
05EB_fhIrx8,17,Sports
05GTmDSeFKY,17,Sports
05HuTGeF5AA,17,Sports
05K5glVCwis,28,Science & Technology
05YvTwmtaec,24,Entertainment
05_0z2s1toM,24,Entertainment
05uUcFel3ME,10,Music
05un-yeeQ4I,24,Entertainment
05vQIHhBmr4,20,Gaming
068YwWsyoNg,24,Entertainment
06EMsKqI2mM,22,People & Blogs
06QB_YZWcfk,24,Entertainment
06VbOtavvYE,17,Sports
06cEdPmCuFg,10,Music
070jlyD-Lh0,24,Entertainment
07EgW8YJByw,20,Gaming
07SEEakiewI,17,Sports
07SZESd8bgU,23,Comedy
07hU5YjP1aM,24,Entertainment
085bnHmDEbA,28,Science & Technology
08AUS7lfXCU,10,Music
08MCd75frA8,10,Music
08RCeyso9Vc,17,Sports
08T1ObkO7O0,1,Film & Animation
08V8aBTz7Sk,17,Sports
08dcKkfq22U,24,Entertainment
08mwXICY4JM,27,Education
09-9hKW7rb8,24,Entertainment
094AQXwPL2g,17,Sports
094JAEh_p-c,24,Entertainment
0965xq7kr3c,2,Autos & Vehicles
09JlQLSOWbI,23,Comedy
09QCT3iLqXo,24,Entertainment
09fDHD4rr_U,10,Music
09jQWXgxyjY,24,Entertainment
09vxPwNL9vY,20,Gaming
0A7q1a_Jxbc,24,Entertainment
0AKNxqOT8hw,10,Music
0APuDGqlQ3U,27,Education
0ATlGTB6-sM,17,Sports
0A_e8rKlbKA,10,Music
0B0kMPbheGM,10,Music
0B8NBeQCsuo,20,Gaming
0BBw8q_4Xj0,10,Music
0BL0XXyZWqA,17,Sports
0BLdf0gj3RY,20,Gaming
0BOjLXVdWsA,17,Sports
0BZgwzyocbA,10,Music
