channel_id,subscriberCount,viewCount,videoCount
UC6G2vAJrt407lwiynW116Eg,6060000.0,3090910972.0,121.0
UCAz5JW1_oryewk0eR-eP7Bw,2700000.0,77995070.0,62.0
UC2C_jShtL725hvbm1arSV9w,6930000.0,1208174672.0,195.0
UC-OfPFc1p-FclPQc2nXg1FA,7160000.0,10786227855.0,3862.0
UCk8gzAOGprcGAFMWGzZ2zQw,1450000.0,872190529.0,17547.0
UC71wXCoTvVy63AW2s0jdwvw,1430000.0,321622711.0,478.0
UCFoez1Xjc90CsHvCzqKnLcw,805000.0,222894620.0,1708.0
UCa3wuly5TEbB5ETH8Ga-S0g,677000.0,63259316.0,150.0
UCm9K6rby98W8JigLoZOh6FQ,4650000.0,1217797193.0,1645.0
UClBnxUXbfpnwZjchDz52B7Q,204000.0,51486621.0,413.0
UChDKyKQ59fYz3JO2fl0Z6sg,4970000.0,4125578249.0,50538.0
UCz97F7dMxBNOfGYu3rx8aCw,7890000.0,6120897451.0,5414.0
UCETZ7OiW7-wqwb-6hsz3C4w,8570000.0,2804930080.0,987.0
UCtyltqstMm6iKnkk2Y9Zt8A,11000000.0,3920564547.0,501.0
UCpaaQyTQhpZBC1cw3D9Ciog,670000.0,244203852.0,148.0
UCcYrdFJF7hmPXRNaWdrko4w,29600000.0,21226500847.0,85.0
UCSHVQ3lgpeSbETMqKl8kcug,1250000.0,1536545008.0,280.0
UCWJ2lWNubArHWmf3FIHbfcQ,23900000.0,17308311031.0,75019.0
UCcgVECVN4OKV6DH1jLkqmcA,21000000.0,7962041478.0,1586.0
UCZqwIV1CGK_8MGMyvDrJvqw,1190000.0,187708925.0,812.0
UCepPGz8AVCbggMl3BvboaBA,3560000.0,1320473141.0,227.0
UClyGlKOhDUooPJFy4v_mqPg,3120000.0,785301388.0,235.0
UCDVYQ4Zhbm3S2dlz7P1GBDg,16300000.0,14762035397.0,56665.0
UChrTMfNcD1eN2ENGWBD7lUQ,376000.0,106479020.0,1462.0
UCNUQK9mQoqi4yNXw2_Rj6SA,42900000.0,31798817283.0,3625.0
UCNvrCwWbqUFEMPHRI--moLg,1260000.0,641155161.0,2751.0
UCgJG-YH8b_I4nc3oiHssdVA,11100.0,211656518.0,83.0
UCayQxFAoFCvGariuQCtHRGQ,4020000.0,1727569569.0,771.0
UC6uKrU_WqJ1R2HMTY3LIx5Q,1910000.0,359844663.0,516.0
UCABbEMDC2EdsLuF0pkoV_cg,553000.0,78378335.0,191.0
UCzXZbDPErhWzErj0iKy_Qrw,111000.0,9435772.0,566.0
UCEU5ZK7DwN9ppqPFJiGah3A,11300000.0,7076239576.0,243.0
UCIu-aUArYq_H84dBpCAokMA,412000.0,221364823.0,3318.0
UCLXl1V6n82Dyg1VhVgSL0nw,3530000.0,1175274068.0,3072.0
UCM1gEqLPsgej7ZKzu9w8v7A,235000.0,5941752154.0,162.0
UCKbNOpmhmwBuJXXMYOg_txA,1660000.0,99212503.0,433.0
UC5utlnoY2NzMkPov5LNeR-Q,817000.0,410623710.0,183.0
UCIaxthCfkKeiT4g4TTrqEAw,,,
UCEf_Bc-KVd7onSeifS3py9g,33500000.0,33103824709.0,4672.0
UCENdrrK5sWM-RV5nTLwBNXw,2570000.0,2115443477.0,4236.0
UCw81xLtFkpks4D8_hYUP9VA,1580000.0,564169161.0,987.0
UCOuduh2b0IZq-7By-7oNCtA,285000.0,98402039.0,2470.0
UCke6I9N4KfC968-yRcd5YRg,25300000.0,16934272367.0,3668.0
UCS5Oz6CHmeoF7vSad0qqXfw,29200000.0,20324625338.0,3788.0
UCWZp4y1jqBuvLtiyxSs_ZBw,3980000.0,6753097539.0,1253.0
UCFo4kqllbcQ4nV83WCyraiw,5490000.0,1268561863.0,895.0
UCVtFOytbRpEvzLjvqGG5gxQ,24900000.0,6327590243.0,1269.0
UCtab7TqLkMFc9MzOMvx5b-g,1430000.0,1460992179.0,1241.0
UCYAJjqIukwm4r3GHEpJDhVw,1030000.0,288503531.0,1931.0
UCjtUS7-SZTi6pXjUbzGHQCg,1760000.0,251578685.0,415.0
UCKGNVB2moP-zeAWPmw8HvAA,5130000.0,2364171168.0,577.0
UCZ8Sxmkweh65HetaZfR8YuA,1330000.0,617936249.0,13152.0
UCrXzMVbjcaVvVtihxNpBvMQ,6300000.0,1309263708.0,814.0
UCr19bNQQxC00MI6DLbpGQhg,337000.0,104016259.0,3018.0
UCaEDMy0ItPSfPEvJf6wYIxw,2090000.0,250202095.0,1116.0
UCgPClNr5VSYC3syrDUIlzLw,8070000.0,4698552202.0,8657.0
UCxzC4EngIsMrPmbm6Nxvb-A,1830000.0,736063908.0,2967.0
UCzR-rom72PHN9Zg7RML9EbA,3170000.0,755258773.0,501.0
UChFur_NwVSbUozOcF_F2kMg,9760000.0,3374909052.0,2179.0
UCsgQqAJC8z09sVFPs8-KKrQ,3100000.0,1473056829.0,325.0
UClv5-GOsjdBOBLltO_l-cWw,591000.0,460461792.0,263.0
UCknLrEdhRCp1aegoMqRaCZg,6170000.0,3063330857.0,45304.0
UC8CX0LD98EDXl4UYX1MDCXg,2870000.0,842514500.0,637.0
UCQjh-JVPNWfY-KsZS3RgRHw,4730000.0,4648526594.0,24466.0
UCWBWgCD4oAqT3hUeq40SCUw,11300000.0,19431678656.0,3782.0
UCqZQlzSHbVJrwrn5XvzrzcA,5330000.0,5345599859.0,47041.0
UCsNIcDJlE9OITlTigYcj_Vw,132000.0,51318332.0,59.0
