video_id,category_id
-s7POB5XP0g,22
-sLwIBEjb0E,20
-sSr9q_Y_fk,24
-sjJ7MvByBk,22
-sjqq_YfZLk,22
-slT4yeulvo,23
-sr3hZCAono,1
-sw3KKfOP9U,24
-sw6xS25xHI,24
-tAysR7KCVI,17
-tBw_lWi7Mw,22
-tNZoYG-rOI,17
-tsaNlnSc2o,1
-ttt8x5P1_4,25
-u5Dzq83YOI,20
-uOeVA047SU,24
-uRrg3iDMAQ,23
-uf-27FRQrY,24
-ux0a4PR5yU,2
-vGXHaYysd4,22
-vI_WMUBXcA,10
-vKgBlYE6js,15
-vZkt4fCkOc,20
-vioJwze-KQ,22
-vlbkmK0Iuo,22
-w4vVdmcBcU,10
-wMvOV4-UGk,23
-wOWu3haXhY,1
-wP8qB4izHg,20
-wR_tTgux0Q,24
-wV_MwJYKp0,17
-wdvNc6Io2s,17
-wj_uPpWM94,20
-wn0zrU6xiA,25
-x-n0jkbc3k,24
-xCssbdVnBA,20
-xQKDW5pITg,10
-xSqROrqvYA,24
-xeJW-RinPw,2
-xjFNDgx97o,17
-xqopfm_4zY,10
-xsiY7nepj8,23
-y3mz0bCZ9A,25
-yHbZWfkBwU,17
-yI7PU5Sxj0,17
-ycdSBsFkR4,20
-ygtoHroOKY,20
-ylVnuPWlJM,20
-ynaPTWKTmU,20
-yq9jCs8xEk,24
-yslbNy4mIg,10
-yt_8R9A-dI,20
-z5HoV54wmM,10
-z5J6f0S5iA,17
-z5_LwIqdhM,28
-zCnGHsqj1A,17
-zDoirI70SQ,20
-zKCH89W8CM,22
-zSLhNGBAF8,17
-zTKiRfU2hs,10
-zUY6AUmgdI,10
0-9PCtiCoB0,17
0-F8_OwDDKo,23
0-KgM_Nuj_w,24
0-NcMgirNeg,24
0-Tm65i96TY,10
0-eKMDa2FdA,17
0-q1KafFCLU,24
00A93Z5c3uk,24
00JOoWU7b6Q,17
00Kz5SMdeBM,20
00T9GucT1E0,24
00bfb05nbiw,17
00uPgn-8Nvg,22
00wmb3OG_mk,24
01H06TbMs4g,24
01Mo3CfJvUc,10
01Q68etWurU,10
01UfNn2eV6s,20
01f--vqJoig,20
01g-_wWPkUg,24
01j90yvN_tA,28
01ped04I84Q,24
01romA31Pek,17
